epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2124,2.23652,3.8272,1.48994,0.41197,0.19447,0.2001,0.10671,2.09093,3.29815,1.54136,0.000109343,0.000109343,0.000109343
2,28.8901,1.94155,3.34913,1.39081,0.51169,0.29959,0.32462,0.20726,1.6614,2.6126,1.24026,0.00021598,0.00021598,0.00021598
3,36.1148,1.88576,3.07838,1.28855,0.54266,0.3449,0.37556,0.23746,1.58586,2.37039,1.16066,0.000318222,0.000318222,0.000318222
4,46.8215,1.77972,2.90951,1.20645,0.49489,0.35065,0.40321,0.23564,1.60025,2.2539,1.19341,0.00031322,0.00031322,0.00031322
5,56.2651,1.71659,2.70164,1.20731,0.50977,0.30983,0.39892,0.22333,1.70134,2.371,1.38214,0.000306626,0.000306626,0.000306626
6,63.357,1.61977,2.55763,1.20961,0.54055,0.3722,0.40042,0.24629,1.60011,2.31165,1.33941,0.000300033,0.000300033,0.000300033
7,72.0489,1.64978,2.75551,1.19544,0.61155,0.32565,0.41209,0.25638,1.58387,2.26424,1.29606,0.00029344,0.00029344,0.00029344
8,79.2703,1.63254,2.5121,1.20675,0.53065,0.43798,0.43963,0.27997,1.49361,2.09604,1.16957,0.000286846,0.000286846,0.000286846
9,87.8596,1.64639,2.53621,1.19025,0.70584,0.3877,0.47316,0.29637,1.48583,1.99027,1.12418,0.000280253,0.000280253,0.000280253
10,96.3055,1.61467,2.60573,1.16714,0.60406,0.42587,0.47619,0.2986,1.53105,2.0086,1.14852,0.000273659,0.000273659,0.000273659
11,103.615,1.58308,2.30306,1.15037,0.65272,0.38221,0.48635,0.30741,1.5156,1.99736,1.14714,0.000267066,0.000267066,0.000267066
12,112.634,1.60554,2.26974,1.10899,0.57301,0.42296,0.52849,0.34588,1.4747,1.91859,1.13473,0.000260473,0.000260473,0.000260473
13,119.444,1.60324,2.32802,1.16424,0.78551,0.39768,0.54773,0.3577,1.45854,1.8481,1.12226,0.000253879,0.000253879,0.000253879
14,128.269,1.52299,2.08464,1.13467,0.71841,0.44107,0.55226,0.35722,1.45048,1.7996,1.1201,0.000247286,0.000247286,0.000247286
15,136.381,1.50722,2.04984,1.12927,0.74957,0.46821,0.55771,0.35193,1.44373,1.79193,1.10927,0.000240692,0.000240692,0.000240692
16,144.1,1.5085,2.08198,1.1217,0.66975,0.49715,0.55807,0.35486,1.41668,1.75105,1.08833,0.000234099,0.000234099,0.000234099
17,154.158,1.51935,2.04544,1.12773,0.5834,0.57873,0.57994,0.36935,1.41871,1.73935,1.08955,0.000227506,0.000227506,0.000227506
18,161.008,1.50733,1.91051,1.13732,0.57059,0.56839,0.59435,0.38315,1.4138,1.71502,1.09766,0.000220912,0.000220912,0.000220912
19,169.389,1.46484,1.95306,1.12,0.68301,0.49056,0.5838,0.36962,1.43401,1.74499,1.11721,0.000214319,0.000214319,0.000214319
20,176.3,1.4701,1.94797,1.0936,0.70257,0.48754,0.57974,0.37226,1.45278,1.74844,1.12689,0.000207725,0.000207725,0.000207725
21,185.107,1.48531,1.98231,1.12372,0.6804,0.46455,0.54567,0.34916,1.46257,1.82679,1.14319,0.000201132,0.000201132,0.000201132
22,192.763,1.46358,1.91543,1.12016,0.60862,0.49819,0.58825,0.37958,1.43888,1.72581,1.11981,0.000194539,0.000194539,0.000194539
23,200.494,1.42348,1.78302,1.09045,0.69188,0.4889,0.61256,0.40273,1.39644,1.6337,1.09613,0.000187945,0.000187945,0.000187945
24,209.007,1.44647,1.93369,1.12197,0.58246,0.57748,0.63074,0.41737,1.3846,1.61564,1.08923,0.000181352,0.000181352,0.000181352
25,215.857,1.44748,1.79769,1.11488,0.62286,0.59577,0.63673,0.41753,1.39129,1.63002,1.08925,0.000174758,0.000174758,0.000174758
26,224.203,1.38515,2.03855,1.06928,0.60854,0.59289,0.65908,0.42954,1.40662,1.63173,1.09741,0.000168165,0.000168165,0.000168165
27,231.069,1.45051,1.88276,1.13633,0.65424,0.56454,0.63448,0.4032,1.413,1.65709,1.09973,0.000161572,0.000161572,0.000161572
28,239.211,1.44243,1.86532,1.11165,0.72324,0.48438,0.64688,0.41534,1.42256,1.61297,1.09561,0.000154978,0.000154978,0.000154978
29,245.967,1.42738,1.73691,1.09466,0.73354,0.49471,0.64977,0.41963,1.40886,1.57636,1.08998,0.000148385,0.000148385,0.000148385
30,254.319,1.36168,1.66635,1.07971,0.71885,0.50547,0.62484,0.40201,1.38935,1.52907,1.08785,0.000141791,0.000141791,0.000141791
31,261.296,1.4033,1.96945,1.08137,0.73174,0.50175,0.62582,0.41104,1.36301,1.50947,1.07313,0.000135198,0.000135198,0.000135198
32,269.582,1.38142,1.64649,1.06836,0.72168,0.50974,0.647,0.43185,1.35845,1.51609,1.06615,0.000128605,0.000128605,0.000128605
33,277.295,1.35955,1.6758,1.06812,0.6152,0.5596,0.6505,0.43432,1.34384,1.47958,1.05075,0.000122011,0.000122011,0.000122011
34,284.769,1.39738,1.69103,1.09031,0.67761,0.51865,0.65889,0.43516,1.34379,1.47326,1.05892,0.000115418,0.000115418,0.000115418
35,293.123,1.42175,1.74537,1.08254,0.65164,0.56868,0.66524,0.44475,1.34518,1.44484,1.05438,0.000108824,0.000108824,0.000108824
36,299.966,1.39952,1.81722,1.1026,0.70353,0.55597,0.66343,0.43963,1.36609,1.46272,1.06695,0.000102231,0.000102231,0.000102231
37,308.206,1.30433,1.81094,1.02076,0.65918,0.5662,0.6667,0.43756,1.36859,1.45045,1.06984,9.56376e-05,9.56376e-05,9.56376e-05
