epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4538,2.49027,4.64153,1.59721,0.03276,0.54027,0.04503,0.02385,1.5542,3.98265,0.95884,0.000108638,0.000108638,0.000108638
2,56.4229,1.09257,2.94206,0.93611,0.03006,0.99356,0.13873,0.10951,0.76752,2.91823,0.85643,0.000215289,0.000215289,0.000215289
3,82.6663,0.87454,2.49225,0.89999,0.57267,0.31267,0.40435,0.34865,0.58794,2.25018,0.83703,0.000317545,0.000317545,0.000317545
4,109.062,0.7527,2.05968,0.87412,0.60907,0.61781,0.65049,0.53362,0.69852,1.65702,0.86047,0.00031322,0.00031322,0.00031322
5,136.351,0.67265,1.66767,0.85723,0.64338,0.78328,0.79216,0.66259,0.63217,1.12527,0.83292,0.000306626,0.000306626,0.000306626
6,163.21,0.60309,1.36916,0.84344,0.79505,0.87215,0.85767,0.78442,0.39812,0.87356,0.79813,0.000300033,0.000300033,0.000300033
7,189.977,0.57163,1.20459,0.83605,0.82836,0.89926,0.87311,0.80226,0.41482,0.73042,0.80083,0.00029344,0.00029344,0.00029344
8,216.369,0.54945,1.10753,0.8343,0.84342,0.92747,0.89524,0.83054,0.38421,0.73114,0.80063,0.000286846,0.000286846,0.000286846
9,241.647,0.48779,1.01061,0.81978,0.84184,0.92573,0.88981,0.82847,0.36716,0.66705,0.794,0.000280253,0.000280253,0.000280253
10,267.794,0.4832,0.97946,0.82001,0.85816,0.94442,0.90097,0.8215,0.43814,0.64203,0.79971,0.000273659,0.000273659,0.000273659
11,294.525,0.50465,0.91954,0.82232,0.86529,0.9446,0.92322,0.83961,0.42904,0.6033,0.80181,0.000267066,0.000267066,0.000267066
12,320.94,0.47194,0.87916,0.82044,0.87759,0.95275,0.91916,0.89305,0.27087,0.55517,0.78271,0.000260473,0.000260473,0.000260473
13,347.244,0.43058,0.84799,0.81213,0.88845,0.94885,0.93964,0.92385,0.2511,0.5288,0.78071,0.000253879,0.000253879,0.000253879
14,373.975,0.41669,0.82277,0.81066,0.88344,0.95648,0.93791,0.912,0.26276,0.51404,0.78331,0.000247286,0.000247286,0.000247286
15,399.529,0.42007,0.81054,0.80873,0.88809,0.95827,0.93656,0.91093,0.27193,0.5207,0.78209,0.000240692,0.000240692,0.000240692
